target_id,item_id,datetime,probability,latitude,longitude,bounding_box,area,major_length,minor_length,length
20200319_151206__8_6_0,20200319_151206_,2020-03-19 15:12:06,0.5354519486427307,-12.395950613220208,-77.11214755016319,[242.00903   17.376213 264.67996   42.357784],5097.198832244729,74.9447135925293,68.01278686523439,101.20498640206442
20200319_151206__9_6_0,20200319_151206_,2020-03-19 15:12:06,0.5406487584114075,-12.408834776359825,-77.11720427457567,[ 67.25459 201.47357  80.31671 213.5911 ],1424.5247182049786,39.18635559082031,36.35256958007813,53.45165834251203
20200319_151206__9_15_0,20200319_151206_,2020-03-19 15:12:06,0.5443509817123413,-12.407557538961367,-77.04399366937277,[ 30.065235 132.75491   42.933544 146.65671 ],1610.0332804606296,41.70538330078125,38.60492706298828,56.83026825384276
20200319_151206__9_17_0,20200319_151206_,2020-03-19 15:12:06,0.6873807907104492,-12.410361015028036,-77.02323346782646,[178.98573 229.58038 204.77232 245.13992],3611.047340207733,77.35977172851562,46.67861938476562,90.35168946708114
20200319_151206__9_19_0,20200319_151206_,2020-03-19 15:12:06,0.5730413794517517,-12.406648071928101,-77.01158057085999,[  3.3758268  84.88698    27.17545   109.56183  ],5285.268932699226,74.02455139160156,71.39886474609375,102.8466435804244
20200319_151206__10_3_0,20200319_151206_,2020-03-19 15:12:06,0.7626333832740784,-12.411594544603954,-77.13687192328973,[218.15819     6.0860157 299.         25.942007 ],14446.74891186232,242.5254364013672,59.56797409057617,249.73371986764053
20200319_151206__10_15_0,20200319_151206_,2020-03-19 15:12:06,0.7076750993728638,-12.416874934332414,-77.03837248827334,[236.41301 171.9967  249.40126 193.57797],2522.726315469481,64.74380493164061,38.964752197265625,75.5646226141615
20200319_151206__10_16_0,20200319_151206_,2020-03-19 15:12:06,0.7009806036949158,-12.415135025658135,-77.0329898358865,[130.88423  108.607025 146.19875  125.643555],2348.1555560622364,51.10958862304688,45.94354248046875,68.72407980374652
20200319_151206__10_16_1,20200319_151206_,2020-03-19 15:12:06,0.5139845609664917,-12.4182636836,-77.03389530350267,[ 97.335495 227.5674   115.861984 237.96468 ],1733.625504590571,55.5794677734375,31.19183349609375,63.733882000287835
20200319_151206__13_19_0,20200319_151206_,2020-03-19 15:12:06,0.8284529447555542,-12.436820820841767,-77.00469665953538,[247.41167     3.2292938 299.         21.067678 ],8282.272758331586,154.76499938964844,53.5151538848877,163.75615020939242
20200319_151207__10_3_0,20200319_151207_,2020-03-19 15:12:07,0.5052694082260132,-12.480503301180017,-77.1506467303456,[202.5287      7.7719803 299.         27.589596 ],17206.479861634027,289.4138946533203,59.45284652709961,295.4573461239
20200319_151207__13_19_0,20200319_151207_,2020-03-19 15:12:07,0.8244942426681519,-12.505693918446054,-77.01826818576606,[244.21124    2.358881 299.        21.66535 ],9519.996985519538,164.36627197265625,57.91940689086914,174.27257115443973
